Search keyword report
"July 22, 2025 - July 22, 2025"
Keyword status,Keyword,Match type,Ad group,Status,Status reasons,Conversions,Currency code,Cost / conv.,Final URL,Clicks,Impr.,CTR,Avg. CPC,Cost,Conv. rate
Enabled,montessori preschool,Broad match,Montessori Learning Center,Eligible,,0.00,USD,0.00,,0,0, --,0,0.00,0.00%
Enabled,las vegas kindergarten,Broad match,Montessori Learning Center,Eligible,,0.00,USD,0.00,,0,0, --,0,0.00,0.00%
Enabled,Half day education,Broad match,Montessori Learning Center,Eligible,,0.00,USD,0.00,,0,0, --,0,0.00,0.00%
Enabled,las vegas preschool,Broad match,Montessori Learning Center,Eligible,,0.00,USD,0.00,,0,14,0.00%,0,0.00,0.00%
Enabled,nursery system maria montessori,Broad match,Montessori Learning Center,Eligible,,0.00,USD,0.00,,0,2,0.00%,0,0.00,0.00%
Enabled,Minimum preschool,Broad match,Montessori Learning Center,Eligible,,0.00,USD,0.00,,0,0, --,0,0.00,0.00%
Enabled,montessori school,Broad match,Montessori Learning Center,Eligible,,0.00,USD,0.00,,0,2,0.00%,0,0.00,0.00%
Enabled,montessori,Broad match,Montessori Learning Center,Eligible,,0.00,USD,0.00,,2,10,20.00%,1.51,3.01,0.00%
Enabled,maria montessori learning through play,Broad match,Montessori Learning Center,Eligible,,0.00,USD,0.00,,0,0, --,0,0.00,0.00%
Enabled,preschool full day,Broad match,Montessori Learning Center,Eligible,,0.00,USD,0.00,,0,0, --,0,0.00,0.00%
Enabled,las vegas montessori,Broad match,Montessori Learning Center,Eligible,,0.00,USD,0.00,,0,6,0.00%,0,0.00,0.00%
Enabled,early childhood education,Broad match,Montessori Learning Center,Eligible,,0.00,USD,0.00,,1,21,4.76%,10.95,10.95,0.00%
Enabled,Short day kindergarten,Broad match,Montessori Learning Center,Eligible,,0.00,USD,0.00,,0,0, --,0,0.00,0.00%
Enabled,montessori and outdoor play,Broad match,Montessori Learning Center,Eligible,,0.00,USD,0.00,,0,0, --,0,0.00,0.00%
Enabled,daycare,Broad match,Montessori Learning Center,Eligible,,0.00,USD,0.00,,0,1,0.00%,0,0.00,0.00%
Enabled,private preschool,Broad match,Montessori Learning Center,Eligible,,0.00,USD,0.00,,0,0, --,0,0.00,0.00%
Enabled,montessori education,Broad match,Montessori Learning Center,Eligible,,0.00,USD,0.00,,0,0, --,0,0.00,0.00%
Enabled,daycare near me,Broad match,Montessori Learning Center,Eligible,,0.00,USD,0.00,,0,1,0.00%,0,0.00,0.00%
Enabled,montessori daycare,Broad match,Montessori Learning Center,Eligible,,0.00,USD,0.00,,0,0, --,0,0.00,0.00%
Enabled,all day preschool programs near me,Broad match,Montessori Learning Center,Eligible,,0.00,USD,0.00,,0,0, --,0,0.00,0.00%
Enabled,early childhood development,Broad match,Montessori Learning Center,Eligible,,0.00,USD,0.00,,0,0, --,0,0.00,0.00%
Enabled,childcare near me,Broad match,Montessori Learning Center,Eligible,,0.00,USD,0.00,,0,0, --,0,0.00,0.00%
Enabled,full time preschool,Broad match,Montessori Learning Center,Eligible,,0.00,USD,0.00,,0,0, --,0,0.00,0.00%
Enabled,full time preschool near me,Broad match,Montessori Learning Center,Eligible,,0.00,USD,0.00,,0,0, --,0,0.00,0.00%
 --,,Total: All but removed keywords, --, --,,0.00,USD,0.00,,3,57,5.26%,4.65,13.96,0.00%
,,Total: Keywords in your campaign,,,,0.00,USD,0.00,,3,57,5.26%,4.65,13.96,0.00%
,,Total: Your keywords,,,,0.00,USD,0.00,,3,57,5.26%,4.65,13.96,0.00%
,,Total: AI Max expanded matches,,,,0.00,USD,0.00,,0,0, --,0,0.00,0.00%
,,Total: AI Max landing page matches,,,,0.00,USD,0.00,,0,0, --,0,0.00,0.00%
,,Total: URL inclusions in your campaign,,,,0.00,USD,0.00,,0,0, --,0,0.00,0.00%
,,Total: Campaign,,,,0.00,USD,0.00,,3,57,5.26%,4.65,13.96,0.00%
